Year,Quarter,IATTC_PS
1975,1,0
1975,2,0
1975,3,0
1975,4,0
1976,1,0
1976,2,0
1976,3,0
1976,4,0
1977,1,0
1977,2,0
1977,3,0
1977,4,0
1978,1,0
1978,2,0
1978,3,0
1978,4,0
1979,1,0
1979,2,0
1979,3,0
1979,4,0
1980,1,0
1980,2,0
1980,3,0
1980,4,0
1981,1,0
1981,2,0
1981,3,0
1981,4,0
1982,1,0
1982,2,0
1982,3,0
1982,4,0
1983,1,0
1983,2,0
1983,3,0
1983,4,0
1984,1,0
1984,2,0
1984,3,0
1984,4,0
1985,1,0
1985,2,0
1985,3,0
1985,4,0
1986,1,0
1986,2,0
1986,3,0
1986,4,0
1987,1,0
1987,2,0
1987,3,0
1987,4,0
1988,1,0
1988,2,0
1988,3,0
1988,4,0
1989,1,0
1989,2,0
1989,3,0
1989,4,0
1990,1,0
1990,2,0
1990,3,0
1990,4,0
1991,1,0
1991,2,0
1991,3,0
1991,4,0
1992,1,0
1992,2,0
1992,3,0
1992,4,0
1993,1,84
1993,2,147
1993,3,105
1993,4,55
1994,1,91
1994,2,137
1994,3,159
1994,4,174
1995,1,146
1995,2,152
1995,3,151
1995,4,138
1996,1,73
1996,2,180
1996,3,138
1996,4,193
1997,1,144
1997,2,215
1997,3,303
1997,4,336
1998,1,252
1998,2,253
1998,3,315
1998,4,309
1999,1,356
1999,2,657
1999,3,453
1999,4,195
2000,1,319
2000,2,255
2000,3,338
2000,4,113
2001,1,236
2001,2,284
2001,3,311
2001,4,388
2002,1,236
2002,2,686
2002,3,461
2002,4,356
2003,1,217
2003,2,375
2003,3,516
2003,4,430
2004,1,236
2004,2,415
2004,3,310
2004,4,297
2005,1,383
2005,2,607
2005,3,455
2005,4,337
2006,1,281
2006,2,492
2006,3,310
2006,4,349
2007,1,271
2007,2,284
2007,3,141
2007,4,317
2008,1,282
2008,2,328
2008,3,195
2008,4,171
2009,1,167
2009,2,284
2009,3,464
2009,4,501
2010,1,300
2010,2,443
2010,3,422
2010,4,290
2011,1,223
2011,2,423
2011,3,360
2011,4,189
2012,1,154
2012,2,381
2012,3,534
2012,4,385
2013,1,214
2013,2,535
2013,3,455
2013,4,260
2014,1,288
2014,2,429
2014,3,617
2014,4,405
2015,1,310
2015,2,563
2015,3,610
2015,4,827
2016,1,414
2016,2,636
2016,3,389
2016,4,431
2017,1,164
2017,2,334
2017,3,445
2017,4,274
2018,1,137
2018,2,391
2018,3,418
2018,4,348
2019,1,188
2019,2,557
2019,3,458
2019,4,412
2020,1,238
2020,2,241
2020,3,240
2020,4,195
2021,1,110
2021,2,335
2021,3,240
2021,4,221
2022,1,228
2022,2,337
2022,3,449
2022,4,322
2023,1,267
2023,2,481
2023,3,380
2023,4,321
2024,1,256
2024,2,443
2024,3,556
2024,4,423
