"Year","Quarter","WCPFC","IATTC_LL"
1975,1,45.251,0
1975,2,19.276,0
1975,3,77.078,0
1975,4,153.32,0
1976,1,49.063,0
1976,2,108.824,0
1976,3,224.239,0
1976,4,177.3,0
1977,1,93.997,0
1977,2,122.989,0
1977,3,122.8,0
1977,4,51.883,0
1978,1,65.031,0
1978,2,71.864,0
1978,3,102.674,0
1978,4,228.767,0
1979,1,304.27,0
1979,2,201.673,0
1979,3,190.936,0
1979,4,149.822,0
1980,1,181.769,0
1980,2,143.352,0
1980,3,227.615,0
1980,4,141.203,0
1981,1,296.321,0
1981,2,248.911,0
1981,3,282.957,0
1981,4,262.275,0
1982,1,168.405,0
1982,2,114.614,0
1982,3,206.04,0
1982,4,135.864,0
1983,1,45.826,0
1983,2,45.195,7.74
1983,3,86.499,0.22
1983,4,179.663,0
1984,1,178.043,0
1984,2,148.482,0
1984,3,139.505,0
1984,4,151.355,0
1985,1,247.897,0
1985,2,227.901,0
1985,3,269.218,0
1985,4,220.086,0
1986,1,159.001,0.29
1986,2,123.592,1.99
1986,3,263.269,9.68
1986,4,372.61,11.21
1987,1,239.005,72.9
1987,2,262.543,91.74
1987,3,666.323,65.72
1987,4,477.636,95.39
1988,1,528.515,49.19
1988,2,437.561,14.04
1988,3,373.759,25.63
1988,4,207.048,14.16
1989,1,210.641,19.74
1989,2,278.906,7.72
1989,3,335.058,16.64
1989,4,355.858,41.28
1990,1,286.268,25.85
1990,2,251.655,53.4
1990,3,360.317,105.15
1990,4,271.99,133.75
1991,1,249.295,173.72
1991,2,144.461,148.37
1991,3,218.773,71.43
1991,4,247.492,80.15
1992,1,202.743,171.07
1992,2,312.597,164.54
1992,3,534.357,65.92
1992,4,371.103,154.72
1993,1,297.894,113.67
1993,2,295.1,132.71
1993,3,601.554,42.07
1993,4,298.898,30.13
1994,1,315.305,96.84
1994,2,427.861,35.05
1994,3,492.477,18.33
1994,4,523.412,12.88
1995,1,581.76,60.47
1995,2,826.624,74.94
1995,3,849.579,44.54
1995,4,491.236,51.44
1996,1,310.3,47.3
1996,2,241.03,31.21
1996,3,397.122,22.53
1996,4,490.208,30.787
1997,1,308.269,41.02
1997,2,301.029,52.98
1997,3,508.043,56.3
1997,4,377.54,178.14
1998,1,403.493,159.43
1998,2,1085.839,113.57
1998,3,899.416,17.15
1998,4,974.2,17.74
1999,1,740.313,19.02
1999,2,641.165,21.02
1999,3,640.309,54.66
1999,4,717.108,59.69
2000,1,752.72,16.87
2000,2,470.803,25.1
2000,3,677.59,33.46
2000,4,616.065,23.48
2001,1,765.009,42.48
2001,2,651.378,62.92
2001,3,797.444,87.96
2001,4,602.173,93.86
2002,1,684.367,38.8
2002,2,1241.653,20.04
2002,3,1098.815,0.68
2002,4,1085.931,35.44
2003,1,1360.356,12.61137
2003,2,1491.675,14.48831
2003,3,1040.543,5.37948
2003,4,544.882,11.09607
2004,1,641.341,95.93
2004,2,299.841,120.59
2004,3,752.52,69.64
2004,4,1112.113,66.45
2005,1,1412.03,69.26
2005,2,762.516,60.6
2005,3,1082.964,17.14
2005,4,598.461,6.41
2006,1,540.617,41.3
2006,2,584.967,73.71
2006,3,994.36,84.28
2006,4,682.698,30.38
2007,1,563.09,61.55
2007,2,564.947,45.79
2007,3,713.606,42.52
2007,4,631.39,20.59
2008,1,958.793,19.29
2008,2,1039.124,11.37
2008,3,971.307,11.6
2008,4,823.252,6.37
2009,1,542.121,37.08
2009,2,956.735,38.28
2009,3,1306.223,46.17
2009,4,1547.032,76.91
2010,1,1198.502,66.59
2010,2,1124.585,153.87
2010,3,861.052,79.54
2010,4,692.723,144.61
2011,1,644.728,87.65
2011,2,916.517,79.82
2011,3,949.094,107.92
2011,4,1119.597,16.84
2012,1,796.57,370.12
2012,2,1031.924,170.36
2012,3,1066.636,230.53
2012,4,1377.723,226.44
2013,1,1267.874,321.98
2013,2,971.151,385.7
2013,3,1015.679,172.83
2013,4,1027.535,94.68
2014,1,1184.069,224.64
2014,2,1215.498,130.16
2014,3,1137.416,163.99
2014,4,1010.043,274.46
2015,1,1201.246,200.68
2015,2,1123.96,177.92
2015,3,1076.833,145.32
2015,4,1442.054,233.22
2016,1,1480.893,397.52
2016,2,1079.307,82.72
2016,3,893.043,72.02
2016,4,805.511,117.68
2017,1,1074.063,231.08
2017,2,893.55,262.84
2017,3,914.757,339.67
2017,4,836.524,224.64
2018,1,1114.836,250.3
2018,2,1511.264,252.3
2018,3,1120.934,326.99
2018,4,868.034,409.08
2019,1,845.814,253.69
2019,2,1264.666,111.29
2019,3,1035.871,94.75
2019,4,1245.968,235.83
2020,1,896.938,440.09
2020,2,1026.966,298.23
2020,3,544.08,281.59
2020,4,533.952,386.72
2021,1,688.263,411.8
2021,2,873.789,141.56
2021,3,558.561,56.5
2021,4,452.599,82.78
2022,1,598.9,117.52
2022,2,825.862,60.4
2022,3,582.134,133.41
2022,4,594.766,172.78
2023,1,630.609,62.44
2023,2,489.511,80.21
2023,3,385.863,75.64
2023,4,672.107,84.5
2024,1,1513.544,78.02
2024,2,1909.246,106.84
2024,3,1438.82,67.31
2024,4,1160.472,86.34
